Title,Category,Audience,Undergraduates,Postgraduates,Researchers,Teachers,AllStaff,Labels,Blurb,url
PureMessage email filtering,Connect,Undergraduates Postgraduates Researchers Teachers AllStaff,Undergraduates,Postgraduates,Researchers,Teachers,AllStaff,,"PureMessage filters email for spam, phishing and viruses before it is delivered to your mailbox",https://www.nottingham.ac.uk/it-services/connect/email/puremessage-email-filtering.aspx
Recording lectures using 'Engage',Teaching,   Teachers ,,,,Teachers,,,Engage records both presentations and audio/video of the presenter and enables active learning. ,https://www.nottingham.ac.uk/it-services/teaching/recording/recording.aspx
Research data repository,Research, Postgraduates Researchers  ,,Postgraduates,Researchers,,,,A single centrally administered repository for managing research data,https://www.nottingham.ac.uk/it-services/research/applications/data.aspx
Research data storage,Research, Postgraduates Researchers  ,,Postgraduates,Researchers,,,,Whatever your research area we have a data storage service that can support your needs,https://www.nottingham.ac.uk/it-services/research/data/filestore.aspx
Research equipment catalogue,Research, Postgraduates Researchers  ,,Postgraduates,Researchers,,,,A searchable application that helps match researchers to available items of research equipment facilitating greater re-use,https://www.nottingham.ac.uk/it-services/research/kit.aspx
Research Information System (RIS),Research, Postgraduates Researchers  AllStaff,,Postgraduates,Researchers,,AllStaff,,An easy-to-use web-based system designed to decrease the administrative burden of managing the research lifecycle.,https://www.nottingham.ac.uk/it-services/research/applications/ris.aspx
Research Software Engineering Service,Research, Postgraduates Researchers  ,,Postgraduates,Researchers,,,,Collaborating with researchers to produce high quality software for research projects,https://www.nottingham.ac.uk/it-services/research/uon-compute-service/rse.aspx
Secure your mobile,Security,Undergraduates Postgraduates Researchers Teachers AllStaff,Undergraduates,Postgraduates,Researchers,Teachers,AllStaff,,Discover the main risks to mobile devices and how to protect your data,https://www.nottingham.ac.uk/it-services/security/cyber/phone.aspx
Service status,Help,Undergraduates Postgraduates Researchers Teachers AllStaff,Undergraduates,Postgraduates,Researchers,Teachers,AllStaff,,,https://status.nottingham.ac.uk/
SITS Application form,Help,Undergraduates Postgraduates   ,Undergraduates,Postgraduates,,,,,Apply today to the Student IT Support programme - application closes on Wednesday 10 June 2020,https://www.nottingham.ac.uk/it-services/help/sits/sits-form.aspx
Skype for Business,Connect, Postgraduates Researchers Teachers AllStaff,,Postgraduates,Researchers,Teachers,AllStaff,,Skype for Business is available for calls and instant messaging and desktop video conferencing within and external to the University,https://www.nottingham.ac.uk/it-services/software/skype.aspx
Smart Bars,Help,Undergraduates Postgraduates Researchers Teachers AllStaff,Undergraduates,Postgraduates,Researchers,Teachers,AllStaff,,Do you have IT questions? Our Smart Bars have the answers.,https://www.nottingham.ac.uk/it-services/help/smartbar.aspx
Software,Software,Undergraduates Postgraduates Researchers Teachers AllStaff,Undergraduates,Postgraduates,Researchers,Teachers,AllStaff,,"A range of up-to-date software to support staff and students in their work, studies or researc",https://www.nottingham.ac.uk/it-services/software/software.aspx
Staff IT accounts,Connect,  Researchers Teachers AllStaff,,,Researchers,Teachers,AllStaff,,All staff with a University IT account have access to various systems and facilities depending on their role,https://www.nottingham.ac.uk/it-services/connect/account/staff.aspx
Student IT accounts,Connect,Undergraduates Postgraduates   ,Undergraduates,Postgraduates,,,,,Access to everything you need to stay connected.,https://www.nottingham.ac.uk/it-services/connect/account/student.aspx
Student IT support (SITS),Help,Undergraduates Postgraduates   ,Undergraduates,Postgraduates,,,,,New to the University? Experiencing IT problems? Get help from fellow students. ,https://www.nottingham.ac.uk/it-services/help/sits.aspx
Teaching rooms,Teaching,   Teachers ,,,,Teachers,,,Delivering lectures? Discover the IT and AV equipment that can enrich your teaching experience.,https://www.nottingham.ac.uk/it-services/teaching/teaching.aspx
Teleconferencing,Connect,  Researchers Teachers AllStaff,,,Researchers,Teachers,AllStaff,,How to use the University's telephone conferencing service.,https://www.nottingham.ac.uk/it-services/connect/telephones/teleconference.aspx
Telephone services,Connect,  Researchers Teachers AllStaff,,,Researchers,Teachers,AllStaff,,Information Services provides telephone and data services to Schools and Departments across the University.,https://www.nottingham.ac.uk/it-services/connect/telephones/index.aspx
Telephones and mobiles,Connect,  Researchers Teachers AllStaff,,,Researchers,Teachers,AllStaff,,Key information about mobiles and fixed telephones at the University.,https://www.nottingham.ac.uk/it-services/connect/telephones/telephones.aspx
UoN-guest Wi-Fi for short term visitors,Connect,  Researchers Teachers AllStaff,,,Researchers,Teachers,AllStaff,,Free access to the guest Wi-Fi network for visitors.,https://www.nottingham.ac.uk/it-services/connect/wifi/visitors.aspx
Useful numbers and dialling codes,Connect,  Researchers Teachers AllStaff,,,Researchers,Teachers,AllStaff,,,https://www.nottingham.ac.uk/it-services/connect/telephones/useful-numbers.aspx
Video conferencing and broadcasting,Connect,  Researchers Teachers AllStaff,,,Researchers,Teachers,AllStaff,,Communicate and collaborate or broadcast with others,https://www.nottingham.ac.uk/it-services/connect/video/vc.aspx
Virtual desktop,Connect,Undergraduates Postgraduates Researchers Teachers AllStaff,Undergraduates,Postgraduates,Researchers,Teachers,AllStaff,,"Access to University-licensed software, protected websites and selected computing resources",https://www.nottingham.ac.uk/it-services/connect/working/virtual.aspx
Virtual machine hosting,Research, Postgraduates Researchers  AllStaff,,Postgraduates,Researchers,,AllStaff,,Information Services provides hosting on virtual servers within our virtual hosting infrastructure,https://www.nottingham.ac.uk/it-services/research/computing/virtual-machine.aspx
Wi-Fi troubleshooting (help?),Connect,Undergraduates Postgraduates Researchers Teachers AllStaff,Undergraduates,Postgraduates,Researchers,Teachers,AllStaff,,Guidance on how to remove or forget a wireless network.,https://www.nottingham.ac.uk/it-services/connect/wifi/troubleshooting.aspx
Wide format printing,Devices,Undergraduates Postgraduates Researchers Teachers AllStaff,Undergraduates,Postgraduates,Researchers,Teachers,AllStaff,,Students and staff can use these devices for large format printing,https://www.nottingham.ac.uk/it-services/computers/print/wide-format.aspx
Working off campus,Connect,Undergraduates Postgraduates Researchers Teachers AllStaff,Undergraduates,Postgraduates,Researchers,Teachers,AllStaff,,Accessing your files and services and software from anywhere,https://www.nottingham.ac.uk/it-services/connect/working/off-campus.aspx
Working remotely,Connect,Undergraduates Postgraduates Researchers Teachers AllStaff,Undergraduates,Postgraduates,Researchers,Teachers,AllStaff,,"Ways to access your University data, systems and applications remotely and when to use them",https://www.nottingham.ac.uk/it-services/connect/working/index.aspx
